"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"2261","Rodentia","Muridae","Meriones","hurrianae","Meriones hurrianae",-999,71.02,-999,-999,14.25,-999,64.49,72.3,-999,-999,29.19,-999,0.000103565,0.000116035,-999,4.1,-999,-999,4.1,-999,-999,-999,46.58,-999,-999,-999,-999,19.85,-999,-999,"967;1297;1559;1573;2322;2323;2327;2329;2655;2978",-999,-999,-999,-999,898859.94,33.67,20.68,27.18,75.02,53.93,64.47,7,164.22,10,0.13,26.56,244.95,314.37,1387.97
"2262","Rodentia","Muridae","Meriones","libycus","Meriones libycus",-999,91.33,-999,-999,-999,-999,-999,-999,-999,-999,25.43,-999,-999,-999,-999,4.54,-999,-999,5.24,-999,-999,-999,92.8,-999,-999,-999,-999,30.18,45,-999,"1297;2655",-999,-999,-999,-999,9242429.83,47.64,21.1,34.37,90.64,-15.02,37.81,0,25.79,0,0.1,12.18,177.09,167.3,1088.4
"2263","Rodentia","Capromyidae","Mesocapromys","angelcabrerai","Mesocapromys angelcabrerai",-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,-999,"2151",-999,-999,-999,-999,3.55,21.57,21.53,21.55,-78.75,-78.77,-78.76,87,87,87,0.07,111,246,-999,-999
"2264","Rodentia","Capromyidae","Mesocapromys","auritus","Mesocapromys auritus",-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,-999,"2151",-999,-999,-999,-999,83.4,22.81,22.6,22.7,-79.31,-79.62,-79.47,54,58.5,54,-0.0078125,123,250,-999,-999
"2265","Rodentia","Capromyidae","Mesocapromys","melanurus","Mesocapromys melanurus",-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,1,-999,-999,222,1.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,6.22,-999,-999,"1297;2151",-999,1.41,-999,-999,24599.31,21.34,19.82,20.58,-75.47,-77.73,-76.6,43,116.44,43,0.01,88.48,256.48,1272.25,1761.11
"2266","Rodentia","Capromyidae","Mesocapromys","nanus","Mesocapromys nanus",-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,1,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,4,2,2,-999,-999,-999,"2151",-999,-999,-999,-999,3340.02,22.64,22.05,22.34,-81.13,-82.16,-81.64,2,33.14,2,0.00548403750289541,113.97,257.99,-999,-999
"2267","Rodentia","Capromyidae","Mesocapromys","sanfelipensis","Mesocapromys sanfelipensis",-999,-999,-999,-999,-999,-999,-999,-999,3,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,-999,-999,-999,"2151",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"2268","Rodentia","Cricetidae","Mesocricetus","auratus","Mesocricetus auratus",1,98.6,-999,180,-999,73.6,-999,-999,4,-999,15.49,1,-999,-999,-999,8.79,4,120,2.35,-999,-999,-999,50.97,-999,-999,1,2,18.65,22.93,-999,"543;1015;1060;1297;1577;1594;2655",-999,-999,-999,-999,904866.93,42.1,31.43,36.76,51.88,28.72,40.3,8,89.74,29,0.08,41.84,107.7,395.58,1044.97
"2269","Rodentia","Cricetidae","Mesocricetus","brandti","Mesocricetus brandti",-999,198,-999,-999,-999,50,-999,-999,-999,-999,15,-999,-999,-999,-999,9.01,3,-999,-999,-999,-999,-999,43.14,-999,-999,-999,-999,20,-999,-999,"1297;2655",-999,-999,-999,-999,916587.59,42.81,33.34,38.08,53.7,29.63,41.67,12,83.03,26,0.06,46.44,90.46,441.25,968.98
"2270","Rodentia","Cricetidae","Mesocricetus","newtoni","Mesocricetus newtoni",-999,97.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2655",-999,-999,-999,-999,104825.13,45.45,42.08,43.76,29.69,23.59,26.64,34,91.37,40,-0.02,49.08,100.43,530.13,729.3
